City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Chittorgarh,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,4.26
Kota  Rajasthan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75
Jodhpur,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4.34
Jaisalmer,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.16
Ajmer,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,4.17
Bikaner,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,4.2
Varanasi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.31
Meerut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0
Budaun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.25
Moradabad,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,2.25
Amroha,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.13
Gajraula,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,2.83
Ayodhya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75
Ghaziabad  Uttar Pradesh,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2.11
Kumaon division,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5
Vrindavan,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,3.89
Kanpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
Chaukori,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,4.0
Bareilly,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.67
