City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Munger,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Muzaffarnagar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2.5
Pawapuri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Sitamarhi,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Bhagalpur,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,3.5
Vaishali (ancient city),0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,4
Sasaram,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,3.5
Bodh Gaya,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
Rajgir,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,4.5
Patna,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,3
Sydney,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,5.0
Auckland,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,3.5
Brisbane,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.5
Perth,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4.5
Gold Coast  Queensland,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,5.0
Queenstown  New Zealand,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,3.5
Fiji,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,4
Byron Bay  New South Wales,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,4.5
Melbourne,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4.5
Tahiti,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,4
Rotorua,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,4
Port Moresby,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
Samoa,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,4
Panaji,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,4
Benaulim,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4.5
Arambol,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,4.5
Anjuna,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4.5
Baga  Goa,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4
Miramar  Goa,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Colva,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,4.5
Calangute,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4.5
Dona Paula,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
